Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.9874235,-43.2241554,71,10.54430389,60.45569611,535.1682153,538.57208,3500,9.8843,2.2752,9.8217,0,0,0,0,0,0,40.772,8.9437,10.466,8.8895,93.828178
-22.98741491,-43.22410723,71,10.39873409,60.60126591,540.1134224,543.50256,3500,9.8235,2.2967,9.7738,0,0,0,0,0,0,40.699,8.8998,10.48,8.863,93.722176
-22.98740648,-43.22405851,71,10.28797531,60.71202469,545.1053031,548.47583,3500,9.745,2.3242,9.7301,0,0,0,0,0,0,40.644,8.8829,10.456,8.8419,88.75618
-22.9873977,-43.22400554,71,10.2235651,60.7764349,550.520157,553.86481,3500,9.7341,2.2872,9.6772,0,0,0,0,0,0,40.612,8.8037,10.416,8.8165,88.35318
-22.98738891,-43.22395257,71,10.23111725,60.76888275,555.9368725,559.24829,3500,9.7334,2.1713,9.6263,0,0,0,0,0,0,40.616,8.7989,10.302,8.7991,88.566177
-22.98738012,-43.2238996,71,10.24395752,60.75604248,561.3553957,564.63367,3500,9.8167,2.0796,9.5779,0,0,0,0,0,0,40.622,8.8197,10.14,8.796,91.955177
-22.98737133,-43.22384663,71,10.25415897,60.74584103,566.7756747,570.02167,3500,9.8272,2.0326,9.5206,0,0,0,0,0,0,40.627,8.75,10.078,8.7714,96.108177
-22.98736255,-43.22379366,71,10.12292099,60.87707901,572.1976598,575.42694,3500,9.7923,2.0236,9.468,0,0,0,0,0,0,40.561,8.7477,10.041,8.7512,92.002182
-22.987352,-43.2237301,71,9.9658041,61.0341959,578.7062263,581.91583,3500,9.7889,1.9875,9.3938,0,0,0,0,0,0,40.483,8.8224,9.8741,8.7262,92.508179
-22.98734321,-43.22367713,71,9.860443115,61.13955688,584.131798,587.32275,3500,9.8013,1.9338,9.3336,0,0,0,0,0,0,40.43,8.7933,9.7683,8.7071,95.875175
-22.98733267,-43.22361357,71,9.677449226,61.32255077,590.6445373,593.81934,3500,9.8617,1.7327,9.2562,0,0,0,0,0,0,40.339,8.9959,9.3502,8.6855,94.143181
-22.98732212,-43.22355,71,9.546211243,61.45378876,597.1594474,600.31323,3500,9.9477,1.5828,9.1954,0,0,0,0,0,0,40.273,9.1067,9.0731,8.6917,97.920181
-22.98731333,-43.22349703,71,9.538654327,61.46134567,602.5901467,605.71643,3500,9.8744,1.5962,9.1304,0,0,0,0,0,0,40.269,8.9061,9.2816,8.676,94.874176
-22.98730279,-43.22343347,71,9.90393734,61.09606266,609.1088562,612.16528,3500,9.7443,1.6443,9.0571,0,0,0,0,0,0,40.452,8.9184,9.2471,8.6547,97.20118
-22.98729224,-43.22336991,71,10.2495327,60.7504673,615.6295452,618.61969,3500,9.6997,1.651,8.9862,0,0,0,0,0,0,40.625,8.8811,9.2027,8.6294,90.424179
-22.98728345,-43.22331694,71,10.51638222,60.48361778,621.0649196,624.00311,3500,9.8521,1.5816,8.9339,0,0,0,0,0,0,40.758,9.0002,9.1446,8.6119,94.690178
-22.98727467,-43.22326397,71,10.70048714,60.29951286,626.5015907,629.39679,3500,9.7875,1.5618,8.8903,0,0,0,0,0,0,40.85,8.996,9.1208,8.6048,92.522179
-22.98726588,-43.223211,71,10.69382858,60.30617142,631.939525,634.81055,3500,9.7943,1.485,8.8413,0,0,0,0,0,0,40.847,8.9546,9.0474,8.5944,93.768181
-22.98725709,-43.22315803,71,10.77064419,60.22935581,637.3786901,640.21808,3500,9.7794,1.4585,8.7894,0,0,0,0,0,0,40.885,8.9138,9.0114,8.5735,93.082176
