pl_target,pl_pred_ann,pl_pred_svr,pl_pred_rf,pl_pred_gtb
118.42046,125.6303113,125.9496271,121.066105,126.1870006
126.47746,125.7250589,126.0266336,121.066105,126.1870006
121.68346,125.7238124,126.0358363,121.066105,126.1870006
125.38246,125.4701029,125.9423223,118.191954,125.3101822
114.53646,127.5356647,123.9742177,118.0119464,123.0706939
124.08447,129.8912696,124.6708657,121.066105,123.9475122
119.72147,123.1646042,125.4777179,121.066105,123.8424544
137.70346,124.0684512,125.6736637,121.066105,126.0764157
138.28546,124.1495188,126.156997,118.191954,125.0351426
135.30347,127.4078825,126.4161678,118.191954,125.3101822
123.21846,127.5196525,126.3222268,118.191954,125.3101822
123.23246,127.7541584,126.4700685,118.191954,125.3101822
119.70947,128.1406414,126.6351191,121.066105,126.1870006
124.33047,128.1968912,126.2825641,121.066105,126.1870006
121.22047,128.0155189,125.7661991,121.066105,123.9530393
117.29946,128.0083791,125.6093354,121.066105,123.9530393
119.01347,128.0429,125.2954123,120.8860975,123.7830575
119.07746,128.0032656,124.9652753,118.0119464,122.9062392
129.59047,127.8369097,124.8992837,118.0119464,122.9062392
115.03947,126.968196,125.4518263,118.0119464,123.1812788
117.66347,126.6778378,125.5448653,118.0119464,123.1812788
119.31947,127.1620791,125.6532862,120.8860975,124.0580971
124.37146,127.1550218,125.7225497,120.8860975,124.0580971
120.26546,127.4261263,125.6540725,120.8860975,124.0580971
124.40247,127.5452567,125.6010462,120.8860975,124.0580971
132.76146,127.0779518,125.8011864,120.8860975,124.0580971
130.37846,127.1435806,125.4927371,120.8860975,124.0580971
119.90946,127.5149028,125.2716484,120.8860975,124.0580971
120.08546,127.9542062,125.4828024,120.8860975,124.0580971
124.25846,127.7262458,125.435405,120.8860975,124.0580971
120.99446,127.9922712,125.5313006,120.8860975,124.0580971
117.66846,127.8668698,125.3888242,120.8860975,124.0580971
117.80146,127.9082344,125.4066873,120.8860975,124.0580971
117.38647,127.836147,125.470731,120.8860975,124.0580971
118.18346,127.931023,125.3215281,120.8860975,124.0580971
119.61147,127.9818765,125.4138115,120.8860975,124.0580971
118.52346,127.9667703,125.3858688,120.8860975,124.0580971
118.77447,128.6478258,125.2607647,120.8860975,124.0580971
118.42646,128.475694,125.3649557,120.8860975,124.0580971
118.51946,127.7847074,125.4165829,120.8860975,124.0580971
118.59846,129.7729225,125.9079457,120.8860975,124.0580971
121.13947,130.241839,125.8550037,120.8860975,124.0580971
119.99246,130.0104419,125.4960005,118.0119464,123.1812788
115.32646,130.7282149,125.3944174,118.0119464,123.1812788
127.22446,130.2855014,125.5600054,118.0119464,123.1812788
128.48946,130.5923784,125.8260855,118.0119464,123.1812788
116.46646,131.2547644,125.6898972,118.0119464,123.1812788
117.93546,131.7952926,125.5101439,118.0119464,123.1812788
131.07747,131.664174,125.52337,118.0119464,123.1812788
122.59946,131.9271194,125.6695961,118.0119464,123.1812788
121.36846,132.3192624,125.5172642,118.0119464,123.1812788
138.25046,132.9734952,125.593779,118.0119464,123.1812788
118.17246,133.9081211,125.4022269,118.0119464,122.965636
120.39646,134.4453443,125.4866194,118.0119464,123.0706939
116.85546,134.6249635,125.5036653,118.0119464,123.0706939
125.07846,134.7174991,125.4730703,118.0119464,123.0706939
