Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.97843891,-43.22684699,53,11.06428337,41.93571663,531.233606,532.88623,750,7.4986,6.2585,10.833,0,0,0,0,0,0,32.032,6.584,10.4,2.1857,85.640465
-22.97845334,-43.22690623,53,11.35920715,41.64079285,524.9633641,526.6123,750,7.5205,6.341,10.871,0,0,0,0,0,0,32.18,6.5873,10.449,2.172,84.820465
-22.97846666,-43.22696091,53,11.5,41.5,519.175503,520.83148,750,7.575,6.4313,10.904,0,0,0,0,0,0,32.25,6.6084,10.489,2.1623,83.477463
-22.97847538,-43.22701706,53,11.55303001,41.44696999,513.3572265,515.02765,750,7.7242,6.4956,10.937,0,0,0,0,0,0,32.277,6.5606,10.504,2.15,82.011467
-22.97857408,-43.22735715,53,11.5,41.5,476.9632783,478.76532,750,8.1043,6.2966,11.158,0,0,0,0,0,0,32.25,6.7853,10.721,2.0809,77.074463
-22.97858903,-43.22741246,53,11.5,41.5,471.0726157,472.89709,750,8.1276,6.3369,11.198,0,0,0,0,0,0,32.25,6.8949,10.795,2.0657,77.443466
-22.9786041,-43.22747083,53,11.5,41.5,464.8746414,466.72336,750,8.2823,6.2328,11.24,0,0,0,0,0,0,32.25,6.9098,10.824,2.0468,79.219467
-22.97861916,-43.2275292,53,11.62248802,41.37751198,458.6768733,460.53943,750,8.3769,6.171,11.284,0,0,0,0,0,0,32.311,6.9139,10.877,2.0289,77.42646
-22.97863422,-43.22758757,53,11.76188183,41.23811817,452.4793199,454.35461,750,8.5574,6.1175,11.326,0,0,0,0,0,0,32.381,7.0399,10.883,2.0113,77.403465
-22.97866666,-43.22771328,53,12.02334976,40.97665024,439.1315148,441.03922,750,8.5665,6.3403,11.417,0,0,0,0,0,0,32.512,7.2183,11.061,1.9775,81.859467
-22.97868288,-43.22777614,53,12.15861511,40.84138489,432.4580313,434.38229,750,8.791,6.2027,11.461,0,0,0,0,0,0,32.579,7.2631,11.07,1.9637,87.396461
-22.97867895,-43.22785579,53,12.31964588,40.68035412,424.6015124,426.54581,750,8.3118,7.0935,11.509,0,0,0,9,9.04133,1,32.66,7.0424,11.115,1.9306,79.642464
-22.97873048,-43.22795848,53,12.5,40.5,413.0884163,415.06903,750,9.0906,6.1709,11.587,0,0,0,0,0,0,32.75,7.373,11.312,1.9281,81.09346
-22.97874356,-43.22800826,53,12.5,40.5,407.7986589,409.80484,750,9.0925,6.1844,11.623,0,0,0,0,0,0,32.75,7.3246,11.367,1.9206,80.891464
