Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
21,-43.229229,-22.974598,3,3.5,0.5,3500,214.6725,1.8488,18.409,9.1529,4.0151,10,1.1107,6.0299,3,157.09,4,0,0,7.4554,16,29.5,10.792,-49.555584,70.175584,0.10252704
23,-43.229179,-22.974583,3,3.5,0.5,3500,209.40395,1.8381,18.454,9.1138,4.0012,10.02,1.0955,6.0071,3,153.49,4,0,0,7.4554,16,29.5,10.728,-49.535686,70.155686,0.0908866
24,-43.229107,-22.974562,3,3.5,0.5,3500,201.50146,1.8663,18.338,9.0524,4.034,10.132,1.0707,5.9486,3,145.63,4,0,0,7.4554,16,30,10.689,-47.024811,67.644811,0.12417098
26,-43.229046,-22.974545,3,3.5,0.5,3500,194.91643,1.9359,18.092,8.999,4.0955,10.219,1.0469,6.2764,3,139.35,4,0,0,7.4554,16,30,10.651,-47.496281,68.116281,0.16113448
27,-43.228996,-22.974529,3,3.5,0.5,3500,189.64867,1.9263,17.972,8.9544,4.0828,10.161,1.0261,5.8349,3,135.16,4,0,0,7.4554,16,30,10.626,-49.943886,70.563886,0.20739864
28,-43.228947,-22.974516,3,3.5,0.5,3500,184.38112,1.9676,17.735,8.908,4.1114,10.133,1.0021,5.146,3,128.25,4,0,0,7.4554,17.5,30,10.6,-52.211132,72.831132,0.19660327
29,-43.228897,-22.974503,3,3.5,0.5,3500,179.11385,1.9889,17.429,8.86,4.1632,10.12,0.97587,5.1104,3,121.54,4,0,0,7.4554,17.5,30,10.567,-46.935173,67.555173,1.0448223
30,-43.228848,-22.974487,3,3.5,0.5,3500,173.84688,1.9828,17.287,8.8106,4.1374,10.103,0.94584,5.0938,3,117.1,4,0,0,7.4554,17.5,30,10.541,-46.822002,67.442002,1.1353782
31,-43.228848,-22.974487,3,3.5,0.5,3500,173.84688,1.9828,17.287,8.8106,4.1374,10.103,0.94584,5.0938,3,117.1,4,0,0,7.4554,17.5,30,10.541,-45.603664,66.223664,1.4115148
32,-43.228813,-22.974478,3,3.5,0.5,3500,169.89687,2.0353,17.09,8.7707,4.1853,10.145,0.91979,5.0677,3,113.69,4,0,0,7.4554,17.5,30,10.518,-50.208691,70.828691,1.1280698
33,-43.228775,-22.974466,3,3.5,0.5,3500,165.94701,1.8012,17.035,8.7307,3.932,10.007,0.89323,3.8866,2,112.06,3,0,0,7.4554,17.5,30,10.501,-43.40591,64.02591,9.02E-01
34,-43.228714,-22.974449,3,3.5,0.5,3500,159.36444,1.8125,16.655,8.6628,3.9517,10.137,0.84543,3.9037,2,104.97,4,0,0,7.4554,17.5,30,10.292,-49.038849,69.658849,0.64485312
35,-43.228653,-22.974432,3,3.5,0.5,3500,152.78249,1.5556,16.498,8.5975,3.5557,10.054,0.80096,1.9904,1,102.87,3,0,0,7.4554,16,30,10.087,-53.404911,74.024911,2.02E-01
36,-43.228592,-22.974413,3,3.5,0.5,3500,146.34482,1.4898,16.044,8.5359,3.4963,9.7146,0.76043,1.9946,1,95.729,3,0,0,7.4554,16,30,9.899,-50.772633,71.392633,0.22137688
