Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
677,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.775999,28.505999,1.7572032
678,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-13.58119,27.31119,2.5496223
679,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-17.426382,31.156382,2.2149932
680,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-14.115059,27.845059,2.5911896
681,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-14.019099,27.749099,2.2826064
682,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-15.222961,28.952961,1.0383829
683,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.586345,28.316345,2.2722261
684,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-15.502387,29.232387,2.672992
685,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.095134,27.825134,1.6764803
686,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-13.043018,26.773018,2.2801061
687,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.628341,26.358341,1.992393
688,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-13.003804,26.733804,1.2462355
689,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.37118,26.10118,1.1366254
690,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-11.817386,25.547386,1.1548971
