image_id,Long_Rx,Lat_Rx,Decimal Hour Rx,Long_Tx,Lat_Tx,Decimal Hour Tx,Pw,PL,rms_delay_ns,mean_delay,rms_delay,d,dx,dy,relative speed,vx,vy
34.png,-43.31200632,-23.00749272,11.37307333,-43.31203487,-23.00774416,11.37304444,-44.40461149,61.40461149,193.441083,0.260916139,0.193441083,27.99889941,3.436729975,27.78717789,0.418739695,0.05139828,0.415573277
35.png,-43.3120128,-23.0075232,11.37331833,-43.31203908,-23.00776302,11.37324444,-44.34076772,61.34076772,202.715223,0.310287035,0.202715223,26.69495249,3.204239078,26.50194975,1.307468737,0.156937624,1.298015825
36.png,-43.3120192,-23.00754616,11.37356333,-43.31204556,-23.00779164,11.37354444,-44.82126207,61.82126207,200.142515,0.260436628,0.200142515,27.31944713,3.21253625,27.12990605,0.612394943,0.072012473,0.608146175
37.png,-43.312042,-23.0076426,11.3743,-43.31206294,-23.0078765,11.37424444,-44.30849187,61.30849187,189.740003,0.269299432,0.189740003,25.99185006,2.657697065,25.85561671,0.455928596,0.046619232,0.453538898
38.png,-43.31204536,-23.007663,11.37454556,-43.31207428,-23.007917,11.37454444,-45.24904422,62.24904422,176.039465,0.249053653,0.176039465,28.28481759,3.47463573,28.07058625,2.348062918,0.288446736,2.330278512
39.png,-43.3120468,-23.0076898,11.37479222,-43.31208268,-23.00794476,11.37474444,-42.92760002,59.92760002,132.793701,0.125116208,0.132793701,28.47390358,4.186585582,28.16444011,0.220976084,0.032490638,0.218574446
40.png,-43.31204172,-23.00771544,11.37509889,-43.31210424,-23.00799584,11.37504444,-43.16164277,60.16164277,132.331545,0.123518565,0.132331545,31.70720333,6.910679336,30.94493907,3.186437448,0.694493526,3.109833171
41.png,-43.31204424,-23.00775738,11.37558889,-43.31212896,-23.00808212,11.37554444,-44.61795964,61.61795964,158.882366,0.194508445,0.158882366,36.99693743,9.18223737,35.83936238,7.559463288,1.876176547,7.322939763
42.png,-43.3120464,-23.0077743,11.37583833,-43.31213868,-23.00811596,11.37574444,-44.71337183,61.71337183,157.310022,0.212862598,0.157310022,39.00156454,9.956110815,37.70938735,1.990965969,0.508243145,1.92500244
43.png,-43.3120426,-23.007801,11.37608333,-43.31215136,-23.0081595,11.37604444,-44.69049768,61.69049768,166.895772,0.222125789,0.166895772,41.2376773,11.64129692,39.56041248,2.011527273,0.567849301,1.929712191
44.png,-43.3120384,-23.0078232,11.37632833,-43.31215928,-23.0081865,11.37624444,-45.58115537,62.58115537,182.314644,0.220449047,0.182314644,42.09855142,12.87972905,40.07992778,0.6024283,0.18430832,0.57354189
45.png,-43.31203376,-23.00784784,11.3765775,-43.31216948,-23.00822196,11.37654444,-44.2659175,61.2659175,180.626457,0.215169261,0.180626457,43.70541338,14.39660862,41.26621886,1.293936028,0.426223873,1.221721595
46.png,-43.3120298,-23.0078914,11.37681889,-43.31217524,-23.00824248,11.37674444,-44.85199551,61.85199551,180.112117,0.238449906,0.180112117,41.64091549,15.3849867,38.69454777,2.493130386,0.921131954,2.316725069
47.png,-43.31203256,-23.007925,11.37706806,-43.31218334,-23.00827146,11.37704444,-45.46215633,62.46215633,172.304069,0.208870223,0.172304069,41.36504303,15.92893944,38.17506612,0.416694573,0.16046164,0.384560047
48.png,-43.31206424,-23.00801684,11.37756694,-43.31219512,-23.00831376,11.37754444,-44.11235828,61.11235828,277.357287,0.26608658,0.277357287,35.51423006,13.8881597,32.68607589,2.919526001,1.141706952,2.687031319
49.png,-43.312087,-23.008068,11.37781611,-43.31220016,-23.00833068,11.37774444,-43.19221614,60.19221614,213.611025,0.278045287,0.213611025,31.31806163,12.07348317,28.8972661,4.183593131,1.612824633,3.860213491
