pl_target,pl_pred_gtb,pl_pred_ann,pl_pred_svr,pl_pred_rf
28.544039,49.78809863,5.640719268,92.83757499,50.71415201
24.718542,46.96586398,6.96264549,93.10115598,45.397326
25.623358,46.96586398,6.7062221,92.67683787,48.07446147
27.800014,51.00279456,10.89783997,93.26060993,50.07500124
27.310844,51.01983064,14.22548507,92.32174578,50.07500124
28.546637,51.94115542,21.7594846,91.08002403,50.07500124
26.967887,51.94115542,21.7594846,91.08002403,50.07500124
31.764134,51.73945863,28.15835883,89.72702549,49.44208597
26.12827,51.14114883,29.011939,89.03368025,49.43341094
27.882877,50.91888008,40.33612567,87.81528246,48.12013287
28.257405,45.07179452,38.05937837,86.61461626,43.44245763
26.569209,37.41927117,33.96009007,84.32018358,28.66996537
29.526812,37.41927117,31.83010969,84.00261433,28.66996537
27.298272,37.41927117,30.14415752,83.5973295,28.66996537
27.282031,37.41927117,30.14415752,83.5973295,28.66996537
27.981849,37.62510187,29.66096104,83.39330561,28.66996537
31.277495,37.62510187,30.30158452,83.41258585,28.66996537
29.458491,37.41927117,31.05777255,83.41503375,28.66996537
28.577741,44.75757894,32.54328185,83.56511791,43.44245763
30.319344,44.81909633,40.04528415,83.36111652,43.44245763
28.687313,44.84943282,40.75348037,83.47786901,43.44245763
29.139572,44.80991632,41.69875758,83.27583049,43.44245763
28.577294,44.80991632,41.69875758,83.27583049,43.44245763
40.552905,44.80991632,42.32943102,82.92741892,43.44245763
33.144396,44.80991632,43.57262416,82.35117186,43.44245763
41.792691,44.94128568,42.44593035,83.23888495,43.44245763
47.390011,47.56281054,40.01197645,77.63870457,48.12013287
50.643921,48.64805214,45.56836966,81.43732729,48.12013287
49.260933,48.72202642,48.02185386,80.97107538,48.12013287
53.025738,48.03927398,47.02949859,81.68966091,48.12013287
57.949055,52.59727148,45.01365579,77.11467774,50.71415201
54.340714,52.59727148,45.01365579,77.11467774,50.71415201
55.98103,52.83345579,49.45776008,83.28899214,50.71415201
47.147908,52.33807673,62.28171999,86.33696992,50.71415201
50.590111,48.48105055,39.42309233,90.46196499,50.71415201
49.313199,48.39270897,29.39676558,89.29554474,50.71415201
46.42619,48.39270897,37.02587846,91.83559237,50.71415201
45.848507,48.39270897,20.16756053,82.34532467,50.71415201
45.430146,48.39270897,20.16756053,82.34532467,50.71415201
45.633015,48.54195757,20.50430614,82.69040758,50.71415201
44.337065,48.54195757,14.22875908,82.41914516,50.71415201
43.729737,48.39270897,25.05899842,89.35692034,50.71415201
42.948977,48.54195757,20.31170348,86.77678507,50.71415201
41.666634,48.49599785,18.83062975,90.02174695,50.71415201
42.398919,48.49599785,16.7385054,87.6333686,50.71415201
