Tx_ind,Tx,Rx,f,d,dx,dy,nw,PL
3,Tx3,Lab 13,28.5,9.68,9.3,2.69,0.5,109.30625
3,Tx3,Lab 16a,28.5,2.57,0,2.57,0.25,81.41705882
3,Tx3,Lab 16b,28.5,7.36,6.9,2.57,0.5,102.4970588
3,Tx3,Lab 17,28.5,5.95,5.3,2.7,0.25,99.49742857
3,Tx3,Lab 19,28.5,5.14,4.5,2.48,0.5,102.5097143
3,Tx3,Lab 21,28.5,3.8,2.68,2.7,0.5,91.20375
3,Tx3,Pasillo_Dep,28.5,11.03,10.8,2.25,0.5,117.6842105
1,Tx1,Lab 7,28.5,4.83,4.35,2.1,0.25,87.71363636
4,Tx4,Sala 1b,28.5,4.42,3.5,2.7,0.25,87.5828125
4,Tx4,Sala 2,28.5,4.37,4.14,1.4,0.25,77.97575758
4,Tx4,Sala 3,28.5,7.02,6.17,3.35,0.5,100.0534375
4,Tx4,Sala 30a,28.5,7.91,7.5,2.5,0.75,122.0567647
4,Tx4,Sala 30b,28.5,5.37,4.89,2.21,0.75,118.53375
4,Tx4,Sala 35,28.5,7.69,7.55,1.45,0.25,89.186
5,Tx5,Lab 10,28.5,3.35,2.17,2.55,0.25,103.6072727
5,Tx5,Lab 11b,28.5,9.98,9.9,1.28,0.75,95.35242424
5,Tx5,Lab 12,28.5,3.91,3.3,2.1,0.25,89.61483871
4,Tx4,Sala 2,28.5,4.37,4.14,1.4,0.5,116.9375758
5,Tx5,Lab 16b,28.5,6.39,4.01,4.97,0.25,103.4477419
5,Tx5,Lab 18,28.5,10.31,10.05,2.31,0.5,112.3142424
5,Tx5,Lab 8,28.5,6.93,6.6,2.1,0.75,124.6671875
6,Tx6,Lab 11a,28.5,12.5,12.5,0,0.75,117.6666667
1,Tx1,Lab 5,28.5,4,4,0.01,0.25,71.09
6,Tx6,Lab 9,28.5,8.9,8.9,0,0.75,124.3833333
1,Tx1,Copa,29,6.59,6.3,1.94,0.5,123.5461111
1,Tx1,Lab 1,29,11.76,11.6,1.93,0.5,115.8653846
1,Tx1,Lab 11a,29,9.04,8.9,1.6,0.75,122.52
1,Tx1,Lab 3,29,4.25,3.6,2.25,0.25,106.2360215
1,Tx1,Lab 4,29,3.5,2.7,2.22,0.25,104.1031183
1,Tx1,Lab 5,29,4,4,0.01,0.25,84.24666667
1,Tx1,Lab 7,29,4.83,4.35,2.1,0.25,105.5366667
1,Tx1,Lab 9,29,5.78,5.3,2.3,0.75,115.3233333
1,Tx1,Sala,29,11.57,2,11.4,0.75,111.6806667
2,Tx2,Lab 25,29,3.99,3.58,1.76,0.25,94.10575758
2,Tx2,Lab 26,29,5.21,4.27,2.98,0.25,103.9225
2,Tx2,Lab 26a,29,8.43,7.55,3.74,0.75,121.0760215
2,Tx2,Lab 26a,29,8.43,7.55,3.74,0.75,127.2047799
2,Tx2,Lab 27,29,6.71,5.87,3.25,0.5,111.1539394
2,Tx2,Lobby,29,10.46,10.3,1.8,0.5,98.81104167
3,Tx3,Lab 11b,29,12.48,12.3,2.09,0.75,128.8005128
3,Tx3,Lab 13,29,9.68,9.3,2.69,0.5,108.4575238
3,Tx3,Lab 16a,29,2.57,0,2.57,0.25,88.18066667
3,Tx3,Lab 16b,29,7.36,6.9,2.57,0.5,110.3937255
3,Tx3,Lab 17,29,5.95,5.3,2.7,0.25,104.0481373
