f,d,dx,dy,nw,PL
30.5,10.31,10.05,2.31,0.5,122.5048485
30.5,6.93,6.6,2.1,0.75,130.2714943
30.5,12.5,12.5,0,0.75,129.3566667
30.5,4,4,0.01,0.25,82.69
30.5,8.9,8.9,0,0.75,129.8133333
31,6.59,6.3,1.94,0.5,118.4613889
31,11.76,11.6,1.93,0.5,127.6829032
31,9.04,8.9,1.6,0.75,124.6433333
31,4.25,3.6,2.25,0.25,104.66375
31,3.5,2.7,2.22,0.25,105.4487097
31,4,4,0.01,0.25,97.70333333
31,4.83,4.35,2.1,0.25,106.6
31,5.78,5.3,2.3,0.75,120.1166667
31,11.57,2,11.4,0.75,118.2914815
31,3.99,3.58,1.76,0.25,94.92939394
31,5.21,4.27,2.98,0.25,100.0066667
31,8.43,7.55,3.74,0.75,127.9993333
31,8.43,7.55,3.74,0.75,129.9818421
31,6.71,5.87,3.25,0.5,110.1215625
31,10.46,10.3,1.8,0.5,98.28909091
31,12.48,12.3,2.09,0.75,128.09
31,9.68,9.3,2.69,0.5,108.311
31,2.57,0,2.57,0.25,82.67861111
31,7.36,6.9,2.57,0.5,114.6635294
31,5.95,5.3,2.7,0.25,109.6313514
31,5.14,4.5,2.48,0.5,113.5864516
31,3.8,2.68,2.7,0.5,105.3833333
31,11.03,10.8,2.25,0.5,129.3588235
31,4.83,4.35,2.1,0.25,94.92875
31,4.42,3.5,2.7,0.25,94.73290323
31,4.37,4.14,1.4,0.25,84.3625
31,7.02,6.17,3.35,0.5,102.18625
31,7.91,7.5,2.5,0.75,129.2415625
31,5.37,4.89,2.21,0.75,127.3951613
31,7.69,7.55,1.45,0.25,114.9030303
31,3.35,2.17,2.55,0.25,118.6251515
31,9.98,9.9,1.28,0.75,105.3697059
31,3.91,3.3,2.1,0.25,97.21757576
31,4.37,4.14,1.4,0.5,122.6869697
31,6.39,4.01,4.97,0.25,112.1093939
31,10.31,10.05,2.31,0.5,120.6593939
31,6.93,6.6,2.1,0.75,129.4458824
31,12.5,12.5,0,0.75,128.54
31,4,4,0.01,0.25,80.24333333
31,8.9,8.9,0,0.75,131.58
31.5,6.59,6.3,1.94,0.5,117.5230303
31.5,11.76,11.6,1.93,0.5,123.4110753
31.5,9.04,8.9,1.6,0.75,126.7966667
31.5,4.25,3.6,2.25,0.25,108.1654545
31.5,3.5,2.7,2.22,0.25,106.595914
31.5,4,4,0.01,0.25,103.3566667
31.5,4.83,4.35,2.1,0.25,109.8733333
31.5,5.78,5.3,2.3,0.75,129.8933333
31.5,11.57,2,11.4,0.75,116.8868817
31.5,3.99,3.58,1.76,0.25,118.3552083
31.5,5.21,4.27,2.98,0.25,103.8595098
31.5,8.43,7.55,3.74,0.75,130.1826437
31.5,8.43,7.55,3.74,0.75,130.6575269
31.5,6.71,5.87,3.25,0.5,116.4998958
31.5,10.46,10.3,1.8,0.5,103.2123958
31.5,12.48,12.3,2.09,0.75,132.4033333
31.5,9.68,9.3,2.69,0.5,113.4221705
31.5,2.57,0,2.57,0.25,83.5909009
31.5,7.36,6.9,2.57,0.5,126.4742157
31.5,5.95,5.3,2.7,0.25,106.48
31.5,5.14,4.5,2.48,0.5,115.1381818
31.5,3.8,2.68,2.7,0.5,111.7369048
31.5,11.03,10.8,2.25,0.5,120.5907018
31.5,4.83,4.35,2.1,0.25,99.10803922
31.5,4.42,3.5,2.7,0.25,98.87927083
31.5,4.37,4.14,1.4,0.25,88.38833333
31.5,7.02,6.17,3.35,0.5,103.2198851
31.5,7.91,7.5,2.5,0.75,130.7527083
31.5,5.37,4.89,2.21,0.75,133.3523656
31.5,7.69,7.55,1.45,0.25,105.434
31.5,3.35,2.17,2.55,0.25,105.4084848
31.5,9.98,9.9,1.28,0.75,107.4239394
31.5,3.91,3.3,2.1,0.25,100.0377083
31.5,4.37,4.14,1.4,0.5,124.4252083
31.5,6.39,4.01,4.97,0.25,111.3433333
31.5,10.31,10.05,2.31,0.5,123.095914
31.5,6.93,6.6,2.1,0.75,134.2092157
31.5,12.5,12.5,0,0.75,132.8533333
31.5,4,4,0.01,0.25,82.47
31.5,8.9,8.9,0,0.75,136.2866667
32,6.59,6.3,1.94,0.5,125.0790196
32,11.76,11.6,1.93,0.5,131.5591667
32,9.04,8.9,1.6,0.75,130.8433333
32,4.25,3.6,2.25,0.25,111.8926042
32,3.5,2.7,2.22,0.25,113.2757292
32,4,4,0.01,0.25,107.45
32,4.83,4.35,2.1,0.25,109.81
32,5.78,5.3,2.3,0.75,122.3166667
32,11.57,2,11.4,0.75,119.1010417
32,3.99,3.58,1.76,0.25,121.1226042
32,5.21,4.27,2.98,0.25,104.4454545
32,8.43,7.55,3.74,0.75,132.9954545
32,8.43,7.55,3.74,0.75,137.3166667
32,6.71,5.87,3.25,0.5,121.0056989
32,10.46,10.3,1.8,0.5,105.1775758
32,12.48,12.3,2.09,0.75,134.2666667
32,9.68,9.3,2.69,0.5,119.6969792
32,2.57,0,2.57,0.25,87.32666667
32,7.36,6.9,2.57,0.5,122.2766667
32,5.95,5.3,2.7,0.25,117.2122549
32,5.14,4.5,2.48,0.5,123.9490196
32,3.8,2.68,2.7,0.5,119.2175238
32,11.03,10.8,2.25,0.5,124.3540196
32,4.83,4.35,2.1,0.25,100.8760417
32,4.42,3.5,2.7,0.25,100.6269792
32,4.37,4.14,1.4,0.25,90.76133333
32,7.02,6.17,3.35,0.5,110.7766667
32,7.91,7.5,2.5,0.75,134.7663725
32,5.37,4.89,2.21,0.75,136.647957
32,7.69,7.55,1.45,0.25,110.9204902
32,3.35,2.17,2.55,0.25,106.3924242
